,Company,Symbol,Industry,date,shares,price,close,current_price,return,SCOOP Rating,address,price_range,volume,country,state,volume_n,price_n,city,lat,long
20,Fulcrum Therapeutics,FULC,Health Care,7/18/2019,4.5,$16.00,$13.50,$7.69,-51.94%,S/O,"26 Landsdowne Street, Cambridge, MA 02139, US",$16.00 - $16.00,$72.0 mil,US,MA,72.0,16.0,CAMBRIDGE,42.3750997,-71.1056157
21,Phreesia,PHR,Consumer Services,7/18/2019,9.3,$18.00,$25.08,$25.41,41.17%,S/O,"432 Park Avenue South, 12th Floor , New York, NY 10016, US",$18.00 - $18.00,$167.2 mil,US,NY,167.2,18.0,NEW YORK,40.7127281,-74.0060152
22,Karuna Therapeutics,KRTX,Health Care,6/28/2019,5.6,$16.00,$20.02,$16.23,1.44%,S/O,"33 Arch Street, Suite 3110, Boston, MA 02110, US",$16.00 - $16.00,$89.2 mil,US,MA,89.2,16.0,BOSTON,42.3602534,-71.0582912
23,Adaptive Biotechnologies,ADPT,Health Care,6/27/2019,15.0,$20.00,$40.30,$32.19,60.95%,S/O,"1551 Eastlake Avenue East, Suite 200, Seattle, Washington 98102, US",$20.00 - $20.00,$300.0 mil,US,WA,300.0,20.0,SEATTLE,47.6038321,-122.3300624
24,BridgeBio Pharma,BBIO,Health Care,6/27/2019,20.5,$17.00,$27.55,$21.24,24.94%,S/O,"421 Kipling Street, Palo Alto, CA 94301, US",$17.00 - $17.00,$348.5 mil,US,CA,348.5,17.0,PALO ALTO,37.4443293,-122.1598465
25,Change Healthcare,CHNG,Technology,6/27/2019,42.9,$13.00,$15.00,$12.37,-4.85%,S/O,"3055 Lebanon Pike, Suite 1000, Nashville, TN 37214, US",$13.00 - $13.00,$557.1 mil,US,TN,557.1,13.0,NASHVILLE,36.1622296,-86.7743531
26,Morphic Holding,MORF,Health Care,6/27/2019,6.0,$15.00,$18.00,$18.70,24.67%,S/O,"35 Gatehouse Drive, A2, Waltham, MA 02451, US",$15.00 - $15.00,$90.0 mil,US,MA,90.0,15.0,WALTHAM,42.3756401,-71.2358004
27,BlackRock Science and Technology Trust II,BSTZ,Financials,6/26/2019,70.0,$20.00,$20.02,$20.33,1.65%,S/O,"100 Bellevue Parkway, Wilmington, DE 19809, US",$20.00 - $20.00,$1400.0 mil,US,DE,1400.0,20.0,WILMINGTON,39.7459468,-75.546589
28,Cambium Networks,CMBM,Telecommunications,6/26/2019,5.8,$12.00,$9.70,$9.75,-18.75%,S/O,"3800 Golf Road, Suite 360, Rolling Meadows, Illinois 60008, US",$12.00 - $12.00,$69.6 mil,US,IL,69.6,12.0,ROLLING MEADOWS,42.0841936,-88.0131275
29,Akero Therapeutics,AKRO,Health Care,6/20/2019,5.8,$16.00,$18.32,$21.10,31.88%,S/O,"170 Harbor Way, 3rd Floor, South San Francisco, CA 94080, US",$16.00 - $16.00,$92.0 mil,US,CA,92.0,16.0,SOUTH SAN FRANCISCO,37.6549493,-122.4081251
30,Atreca,BCEL,Health Care,6/20/2019,7.4,$17.00,$18.05,$13.00,-23.53%,S/O,"500 Saginaw Drive, Redwood City, CA 94063, US",$17.00 - $17.00,$125.0 mil,US,CA,125.0,17.0,REDWOOD CITY,37.4863239,-122.2325233
31,Personalis,PSNL,Health Care,6/20/2019,7.9,$17.00,$0.00,$15.53,-8.65%,S/O,"1330 O’Brien Drive, Menlo Park, CA 94025, US",$17.00 - $17.00,$134.7 mil,US,CA,134.7,17.0,MENLO PARK,37.4519671,-122.1779927
32,Prevail Therapeutics,PRVL,Health Care,6/20/2019,7.4,$17.00,$13.60,$12.32,-27.53%,S/O,"430 East 29th Street, Suite 940, New York, New York 10016, US",$17.00 - $17.00,$125.0 mil,US,NY,125.0,17.0,NEW YORK,40.7127281,-74.0060152
33,Chewy,CHWY,Consumer Goods,6/14/2019,46.5,$22.00,$34.99,$26.28,19.45%,S/O,"1855 Griffin Road, Suite B-428, Dania Beach, FL 33004, US",$22.00 - $22.00,$1023.0 mil,US,FL,1023.0,22.0,DANIA BEACH,26.05078395,-80.1461239262723
34,Mohawk Group Holdings,MWK,Consumer Goods,6/12/2019,3.6,$10.00,$10.00,$7.73,-22.70%,S/O,"37 East 18th Street, 7th Floor, New York, NY 10003, US",$10.00 - $10.00,$36.0 mil,US,NY,36.0,10.0,NEW YORK,40.7127281,-74.0060152
35,IDEAYA Biosciences,IDYA,Health Care,5/23/2019,5.0,$10.00,$11.19,$9.70,-3.00%,S/O,"7000 Shoreline Court, Suite 350, South San Francisco, CA 94080, US",$10.00 - $10.00,$50.0 mil,US,CA,50.0,10.0,SOUTH SAN FRANCISCO,37.6549493,-122.4081251
36,Rattler Midstream Partners LP,RTLR,Oil & Gas,5/23/2019,38.0,$17.50,$19.24,$18.16,3.77%,S/O,"500 West Texas, Suite 1200, Midland, TX 79701, US",$17.50 - $17.50,$665.0 mil,US,TX,665.0,17.5,MIDLAND,31.9973662,-102.0779482
37,Avantor,AVTR,Health Care,5/17/2019,207.0,$14.00,$14.50,$13.85,-1.07%,S/O,"Radnor Corporate Center, Building One, Suite 200, 100 Matsonford Road, Radnor, PA 19087, US",$14.00 - $14.00,$2898.0 mil,US,PA,2898.0,14.0,RADNOR,40.0463001,-75.3595487
38,Fastly,FSLY,Technology,5/17/2019,11.3,$16.00,$23.99,$24.39,52.44%,S/O,"475 Brannan Street, Suite 300, San Francisco, CA 94107, US",$16.00 - $16.00,$168.8 mil,US,CA,168.8,16.0,SAN FRANCISCO,37.7792808,-122.4192363
39,Postal Realty Trust,PSTL,Financials,5/15/2019,4.5,$17.00,$17.00,$15.53,-8.65%,S/O,"75 Columbia Avenue, Cedarhurst, NY 11516, US",$17.00 - $17.00,$76.5 mil,US,NY,76.5,17.0,CEDARHURST,40.6226058,-73.7256873
40,Applied Therapeutics,APLT,Health Care,5/13/2019,4.0,$10.00,$9.40,$10.27,2.70%,S/O,"340 Madison Avenue, 19th Floor, New York, NY 10173, US",$10.00 - $10.00,$40.0 mil,US,NY,40.0,10.0,NEW YORK,40.7127281,-74.0060152
41,Sonim Technologies,SONM,Telecommunications,5/10/2019,3.6,$11.00,$10.99,$3.17,-71.18%,S/O,"1875 South Grant Street, Suite 750, San Mateo, CA 94402, US",$11.00 - $11.00,$39.3 mil,US,CA,39.3,11.0,SAN MATEO,37.496904,-122.3330573
42,Axcella Health,AXLA,Health Care,5/9/2019,3.6,$20.00,$13.80,$5.31,-73.45%,S/O,"840 Memorial Drive, Cambridge, MA 02139, US",$20.00 - $20.00,$71.4 mil,US,MA,71.4,20.0,CAMBRIDGE,42.3750997,-71.1056157
43,Cortexyme,CRTX,Health Care,5/9/2019,4.4,$17.00,$32.89,$24.60,44.71%,S/O,"269 East Grand Avenue, South San Francisco, CA 94080, US",$17.00 - $17.00,$75.0 mil,US,CA,75.0,17.0,SOUTH SAN FRANCISCO,37.6549493,-122.4081251
44,Mayville Engineering,MEC,Industrials,5/9/2019,6.3,$17.00,$16.47,$12.84,-24.47%,S/O,"715 South Street, Mayville, WS 53050, US",$17.00 - $17.00,$106.3 mil,US,WS,106.3,17.0,MAYVILLE,0,0
45,NextCure,NXTC,Health Care,5/9/2019,5.0,$15.00,$19.90,$35.69,137.93%,S/O,"9000 Virginia Manor Road, Suite 200, Beltsville, MD 20705, US",$15.00 - $15.00,$75.0 mil,US,MD,75.0,15.0,BELTSVILLE,39.0299081,-76.9149547
46,Parsons,PSN,Technology,5/8/2019,18.5,$27.00,$30.07,$33.38,23.63%,S/O,"5875 Trinity Parkway #300, Centreville, Virginia 20120, US",$27.00 - $27.00,$500.0 mil,US,VI,500.0,27.0,CENTREVILLE,38.8403909,-77.4288769
47,Trevi Therapeutics,TRVI,Health Care,5/7/2019,5.5,$10.00,$7.89,$4.20,-58.00%,S/O,"195 Church Street, 14th Floor, New Haven, CT 06510, US",$10.00 - $10.00,$55.0 mil,US,CT,55.0,10.0,NEW HAVEN,41.3082138,-72.9250518
48,Red River Bancshares,RRBI,Financials,5/3/2019,0.6,$45.00,$50.25,$43.13,-4.16%,S/O,"1412 Centre Court Drive, Suite 402, Alexandria, LA 71301, US",$45.00 - $45.00,$27.0 mil,US,LA,27.0,45.0,ALEXANDRIA,31.199004,29.894378
49,SciPlay,SCPL,Technology,5/3/2019,22.0,$16.00,$15.25,$10.57,-33.94%,S/O,"6601 Bermuda Road, Las Vegas, NV 89119, US",$16.00 - $16.00,$352.0 mil,US,NV,352.0,16.0,LAS VEGAS,36.1662859,-115.149225
50,Beyond Meat,BYND,Consumer Goods,5/2/2019,9.6,$25.00,$65.75,$154.34,517.36%,S/O,"1325 East El Segundo Blvd., El Segundo, CA 90245, US",$25.00 - $25.00,$240.6 mil,US,CA,240.6,25.0,EL SEGUNDO,33.917028,-118.4156337
51,TransMedics Group,TMDX,Health Care,5/2/2019,5.7,$16.00,$22.36,$23.35,45.94%,S/O,"200 Minuteman Road. Andover, MA 01810, US",$16.00 - $16.00,$91.0 mil,US,MA,91.0,16.0,200 MINUTEMAN ROAD. ANDOVER,42.69313835,-71.2132042390165
52,Brigham Minerals,MNRL,Oil & Gas,4/18/2019,14.5,$18.00,$19.92,$20.16,12.00%,S/O,"5914 W. Courtyard Drive, Suite 100, Austin, TX 78730, US",$18.00 - $18.00,$261.0 mil,US,TX,261.0,18.0,AUSTIN,30.2711286,-97.7436995
53,Greenlane Holdings,GNLN,Consumer Goods,4/18/2019,6.0,$17.00,$21.10,$3.70,-78.24%,S/O,"1095 Broken Sound Parkway, Suite 300, Boca Raton, FL 33487, US",$17.00 - $17.00,$102.0 mil,US,FL,102.0,17.0,BOCA RATON,26.3586885,-80.0830984
54,HOOKIPA Pharma,HOOK,Health Care,4/18/2019,6.0,$14.00,$14.00,$7.76,-44.57%,S/O,"350 Fifth Avenue, 72nd Floor, New York, NY 10118, US",$14.00 - $14.00,$84.0 mil,US,NY,84.0,14.0,NEW YORK,40.7127281,-74.0060152
55,Pinterest,PINS,Technology,4/18/2019,75.0,$19.00,$24.40,$27.38,44.11%,S/O,"505 Brannan Street, San Francisco, CA 94107, US",$19.00 - $19.00,$1425.0 mil,US,CA,1425.0,19.0,SAN FRANCISCO,37.7792808,-122.4192363
56,Zoom Video Communications,ZM,Technology,4/18/2019,20.9,$36.00,$62.00,$79.75,121.53%,S/O,"55 Almaden Boulevard, 6th Floor San Jose, CA 95113, US",$36.00 - $36.00,$751.3 mil,US,CA,751.3,36.0,SAN JOSE,37.3361905,-121.8905833
57,Turning Point Therapeutics,TPTX,Health Care,4/17/2019,9.3,$18.00,$28.90,$37.74,109.67%,S/O,"10628 Science Center Drive, Ste. 225, San Diego, CA 92121, US",$18.00 - $18.00,$166.5 mil,US,CA,166.5,18.0,SAN DIEGO,32.7174209,-117.1627714
58,PagerDuty,PD,Technology,4/11/2019,9.1,$24.00,$38.25,$29.29,22.04%,S/O,"600 Townsend St., Suite 200, San Francisco, CA 94103, US",$24.00 - $24.00,$217.7 mil,US,CA,217.7,24.0,SAN FRANCISCO,37.7792808,-122.4192363
59,Guardion Health Sciences,GHSI,Health Care,4/5/2019,1.5,$4.00,$3.68,$0.74,-81.50%,S/O,"15150 Avenue of Science, Suite 200, San Diego, California 92128, US",$4.00 - $4.00,$6.0 mil,US,CA,6.0,4.0,SAN DIEGO,32.7174209,-117.1627714
60,Silk Road Medical,SILK,Health Care,4/4/2019,6.0,$20.00,$36.18,$33.37,66.85%,S/O,"1213 Innsbruck Drive, Sunnyvale, CA 94089, US",$20.00 - $20.00,$120.0 mil,US,CA,120.0,20.0,SUNNYVALE,37.3688301,-122.0363496
61,Levi Strauss & Co.,LEVI,Consumer Goods,3/21/2019,36.7,$17.00,$22.41,$19.08,12.24%,S/O,"1155 Battery Street San Francisco, CA 94111, US",$17.00 - $17.00,$623.3 mil,US,CA,623.3,17.0,1155 BATTERY STREET SAN FRANCISCO,37.8019584,-122.4020787
62,ShockWave Medical,SWAV,Health Care,3/7/2019,5.7,$17.00,$30.50,$31.79,87.00%,S/O,"5403 Betsy Ross Drive, Santa Clara, CA 95054, US",$17.00 - $17.00,$96.9 mil,US,CA,96.9,17.0,SANTA CLARA,37.3541132,-121.9551744
63,Kaleido Biosciences,KLDO,Health Care,2/28/2019,5.0,$15.00,$14.23,$7.90,-47.33%,S/O,"65 Hayden Avenue, Lexington, MA 02421, US",$15.00 - $15.00,$75.0 mil,US,MA,75.0,15.0,LEXINGTON,42.4473175,-71.2245003
64,Super League Gaming,SLGG,Consumer Services,2/26/2019,2.3,$11.00,$8.50,$4.61,-58.09%,S/O,"2906 Colorado Ave. Santa Monica, CA 90404, US",$11.00 - $11.00,$25.0 mil,US,CA,25.0,11.0,2906 COLORADO AVE. SANTA MONICA,34.033191125429,-118.467775691921
65,Hoth Therapeutics,HOTH,Health Care,2/15/2019,1.3,$5.60,$8.53,$4.49,-19.82%,S/O,"1 Rockefeller Plaza, Suite 1039, New York, NY 10020, US",$5.60 - $5.60,$7.0 mil,US,NY,7.0,5.6,NEW YORK,40.7127281,-74.0060152
66,Avedro,AVDR,Health Care,2/14/2019,5.0,$14.00,$12.29,$24.06,71.86%,S/O,"201 Jones Road, Waltham, MA 02451, US",$14.00 - $14.00,$70.0 mil,US,MA,70.0,14.0,WALTHAM,42.3756401,-71.2358004
67,TCR2 Therapeutics,TCRR,Health Care,2/14/2019,5.0,$15.00,$15.07,$16.68,11.20%,S/O,"100 Binney Street, Suite 710, Cambridge, MA 02142, US",$15.00 - $15.00,$75.0 mil,US,MA,75.0,15.0,CAMBRIDGE,42.3750997,-71.1056157
68,Harpoon Therapeutics,HARP,Health Care,2/8/2019,5.4,$14.00,$13.50,$14.21,1.50%,S/O,"4000 Shoreline Court, Suite 250, South San Francisco, CA 94080, US",$14.00 - $14.00,$75.6 mil,US,CA,75.6,14.0,SOUTH SAN FRANCISCO,37.6549493,-122.4081251
69,Alector,ALEC,Health Care,2/7/2019,9.3,$19.00,$18.00,$15.11,-20.47%,S/O,"151 Oyster Point Boulevard, Suite 300, South San Francisco, CA 94080, US",$19.00 - $19.00,$175.8 mil,US,CA,175.8,19.0,SOUTH SAN FRANCISCO,37.6549493,-122.4081251
70,New Fortress Energy,NFE,Oil & Gas,1/31/2019,20.0,$14.00,$13.07,$18.08,29.14%,S/O,"111 W. 19th Street, 8th Floor, New York, NY 10011, US",$14.00 - $14.00,$280.0 mil,US,NY,280.0,14.0,NEW YORK,40.7127281,-74.0060152
71,Moderna,MRNA,Health Care,12/7/2018,26.3,$23.00,$18.60,$16.34,-28.96%,S/O,"200 Technology Square Cambridge, MA 02139, US",$23.00 - $23.00,$604.3 mil,US,MA,604.3,23.0,200 TECHNOLOGY SQUARE CAMBRIDGE,42.3634489,-71.0909441427245
72,Synthorx,THOR,Health Care,12/7/2018,11.9,$11.00,$12.61,$19.20,74.55%,S/O,"11099 N. Torrey Pines Road, Suite 290, La Jolla, CA 92037, US",$11.00 - $11.00,$131.0 mil,US,CA,131.0,11.0,LA JOLLA,32.83259,-117.2716839
73,Medalist Diversified REIT,MDRR,Financials,11/28/2018,0.2,$10.00,$9.40,$4.13,-58.70%,S/O,"11 S. 12th Street, Suite 401 Richmond, VA 23219, US",$10.00 - $10.00,$24.0 mil,US,VA,24.0,10.0,RICHMOND,37.5385087,-77.43428
74,Bain Capital Specialty Finance,BCSF,Financials,11/15/2018,7.5,$20.25,$18.00,$19.07,-5.83%,S/O,"200 Clarendon Street, 37th Floor, Boston, MA 02116, US",$20.25 - $20.25,$151.9 mil,US,MA,151.9,20.25,BOSTON,42.3602534,-71.0582912
75,Vapotherm,VAPO,Health Care,11/14/2018,4.0,$14.00,$16.00,$9.17,-34.50%,S/O,"100 Domain Drive, Exeter, NH 03833, US",$14.00 - $14.00,$56.0 mil,US,NH,56.0,14.0,EXETER,42.981477,-70.9478343
76,Eton Pharmaceuticals,ETON,Health Care,11/13/2018,3.6,$6.00,$6.25,$6.33,5.50%,S/O,"21925 W. Field Parkway, Suite 235, Deer Park, IL, 60010, US",$6.00 - $6.00,$21.6 mil,US,IL,21.6,6.0,DEER PARK,42.1608585,-88.0814651
77,Axonics Modulation Technologies,AXNX,Health Care,10/31/2018,8.0,$15.00,$14.98,$27.29,81.93%,S/O,"26 Technology Drive, Irvine, CA 92618, US",$15.00 - $15.00,$120.0 mil,US,CA,120.0,15.0,IRVINE,33.6856969,-117.8259819
78,Twist Bioscience,TWST,Health Care,10/31/2018,5.0,$14.00,$14.00,$24.35,73.93%,S/O,"455 Mission Bay Boulevard South, Suite 545, San Francisco, CA 94158, US",$14.00 - $14.00,$70.0 mil,US,CA,70.0,14.0,SAN FRANCISCO,37.7792808,-122.4192363
79,YETI Holdings,YETI,Consumer Goods,10/25/2018,16.0,$18.00,$17.00,$28.43,57.94%,S/O,"5301 Southwest Parkway, Suite 200 Austin, TX 78735, US",$18.00 - $18.00,$288.0 mil,US,TX,288.0,18.0,AUSTIN,30.2711286,-97.7436995
80,LogicBio Therapeutics,LOGC,Health Care,10/19/2018,7.0,$10.00,$11.50,$9.33,-6.70%,S/O,"610 Main Street, 3rd Floor, Cambridge, MA 02139, US",$10.00 - $10.00,$70.0 mil,US,MA,70.0,10.0,CAMBRIDGE,42.3750997,-71.1056157
81,SolarWinds,SWI,Technology,10/19/2018,25.0,$15.00,$15.03,$19.11,27.40%,S/O,"7171 Southwest Parkway, Building 400, Austin, TX 78735, US",$15.00 - $15.00,$387.5 mil,US,TX,387.5,15.0,AUSTIN,30.2711286,-97.7436995
82,Osmotica Pharmaceuticals plc,OSMT,Health Care,10/18/2018,6.7,$7.00,$8.15,$3.96,-43.43%,S/O,"400 Crossing Boulevard, Bridgewater, NJ 08807, US",$7.00 - $7.00,$46.6 mil,US,NJ,46.6,7.0,BRIDGEWATER,40.5599163,-74.5516573
83,PhaseBio Pharmaceuticals,PHAS,Health Care,10/18/2018,9.2,$5.00,$5.00,$4.55,-9.00%,S/O,"1 Great Valley Parkway, Suite 30, Malvern, PA 19355, US",$5.00 - $5.00,$46.0 mil,US,PA,46.0,5.0,MALVERN,40.036202,-75.5138959
84,SI-BONE,SIBN,Health Care,10/17/2018,7.2,$15.00,$20.06,$18.64,24.27%,S/O,"471 El Camino Real, Suite 101, Santa Clara, CA 95050, US",$15.00 - $15.00,$108.0 mil,US,CA,108.0,15.0,SANTA CLARA,37.3541132,-121.9551744
85,Anaplan,PLAN,Technology,10/12/2018,15.5,$17.00,$24.30,$50.24,195.53%,S/O,"50 Hawthorne Street, San Francisco, CA 94105, US",$17.00 - $17.00,$248.0 mil,US,CA,248.0,17.0,SAN FRANCISCO,37.7792808,-122.4192363
86,Equillium,EQ,Health Care,10/12/2018,4.7,$14.00,$14.00,$3.80,-72.86%,S/O,"2223 Avenida de la Playa, Suite 108, La Jolla, CA 92037, US",$14.00 - $14.00,$65.4 mil,US,CA,65.4,14.0,LA JOLLA,32.83259,-117.2716839
87,Allogene Therapeutics,ALLO,Health Care,10/11/2018,18.0,$18.00,$25.00,$26.97,49.83%,S/O,"210 East Grand Avenue, South San Francisco, CA 94080, US",$18.00 - $18.00,$324.0 mil,US,CA,324.0,18.0,SOUTH SAN FRANCISCO,37.6549493,-122.4081251
88,Livent,LTHM,Basic Materials,10/11/2018,20.0,$17.00,$16.97,$6.58,-61.29%,S/O,"2929 Walnut Street, Philadelphia, PA, 19104, US",$17.00 - $17.00,$340.0 mil,US,PA,340.0,17.0,PHILADELPHIA,39.9527237,-75.1635262
89,Elastic N.V.,ESTC,Technology,10/5/2018,7.0,$36.00,$70.00,$84.97,136.03%,S/O,"800 West El Camino Real, Suite 350, Mountain View, CA 94040, US",$36.00 - $36.00,$252.0 mil,US,CA,252.0,36.0,MOUNTAIN VIEW,37.3893889,-122.0832101
90,Guardant Health,GH,Health Care,10/4/2018,12.5,$19.00,$32.20,$63.40,233.68%,S/O,"505 Penobscot Drive, Redwood City, CA 94063, US",$19.00 - $19.00,$237.5 mil,US,CA,237.5,19.0,REDWOOD CITY,37.4863239,-122.2325233
91,Kodiak Sciences Inc.,KOD,Health Care,10/4/2018,9.0,$10.00,$10.16,$14.21,42.10%,S/O,"2631 Hanover Street, Palo Alto, CA 94304, US",$10.00 - $10.00,$90.0 mil,US,CA,90.0,10.0,PALO ALTO,37.4443293,-122.1598465
92,Upwork,UPWK,Technology,10/3/2018,12.5,$15.00,$21.18,$13.52,-9.87%,S/O,"441 Logue Avenue, Mountain View, CA 94043, US",$15.00 - $15.00,$187.2 mil,US,CA,187.2,15.0,MOUNTAIN VIEW,37.3893889,-122.0832101
93,Arvinas,ARVN,Health Care,9/27/2018,7.5,$16.00,$16.05,$23.54,47.13%,S/O,"5 Science Park, 395 Winchester Ave., New Haven, CT 06511, US",$16.00 - $16.00,$120.0 mil,US,CT,120.0,16.0,NEW HAVEN,41.3082138,-72.9250518
94,Ra Medical Systems,RMED,Health Care,9/27/2018,3.9,$17.00,$20.00,$1.38,-91.88%,S/O,"2070 Las Palmas Drive, Carlsbad, CA 92011, US",$17.00 - $17.00,$66.3 mil,US,CA,66.3,17.0,CARLSBAD,33.1580933,-117.3505966
